,source,author,title,description,url,urlToImage,publishedAt,content
81,"{'id': None, 'name': 'wknd.'}",Somshankar Bandyopadhyay,UAE facilities management sector likely to grow 10% next year - wknd.,"Digital transformation will be key for industry to move forward, expert says",https://www.khaleejtimes.com/business/uae-facilities-management-sector-likely-to-grow-10-next-year,https://image.khaleejtimes.com?uuid=51322185-f966-5050-aa47-9a77a90ae313&function=cropresize&type=preview&source=false&q=75&crop_w=0.99999&crop_h=0.37469&width=1200&height=675&x=1.0E-5&y=0.08243,2022-12-25T11:24:57Z,"Digital transformation will be key for industry to move forward, expert says
The UAEs facilities management (FM) industry is expected to growth 10 per cent in 2023, as t
rends shift in favour of di… [+3265 chars]"
82,"{'id': None, 'name': 'Marketscreener.com'}",MarketScreener,Israel regulator awards licence to investors to set up new digital bank,"(marketscreener.com) Israel's banking regulator
on Sunday approved a conditional licence and control permit to a
group of entrepreneurs to establish a new online bank, the
second addition to the highly concentrated banking sector in
three years.
 The Bank of …",https://www.marketscreener.com/quote/currency/EURO-ISRAELI-NEW-SHEKEL-2363784/news/Israel-regulator-awards-licence-to-investors-to-set-up-new-digital-bank-42618466/?utm_medium=RSS&utm_content=20221225,https://img.zonebourse.com/reuters/2022-01/2022-01-02T100233Z_1_LYNXMPEI0102F_RTROPTP_3_CENBANK-ISRAEL-RATES-MINUTES.JPG,2022-12-25T11:21:05Z,"The Bank of Israel said its banking supervision department had completed the inspection process for the new institution named Esh Bank Israel.
The approvals, it said, will allow the founders to move… [+1114 chars]"
83,"{'id': None, 'name': 'Zawya.com'}",,Ooredoo business and Cisco hold a workshop on the latest SMB solutions - ZAWYA,As part of Ooredoo’s business efforts to assist it’s small and medium enterprise customers to increase their awareness and knowledge,https://www.zawya.com/en/press-release/events-and-conferences/ooredoo-business-and-cisco-hold-a-workshop-on-the-latest-smb-solutions-bsl046xf,https://static.zawya.com/version/c:NjlhYTEwZWYtNDVjMy00:YWI2YWYw/sulaimanal-houmoud-jpg.webp?f=3%3A2,2022-12-25T11:17:14Z,"Kuwait City, Kuwait: Ooredoo business, the trusted technology partner for all business solutions, in collaboration with Cisco held an interactive workshop to shed light on the latest trends and pract… [+1728 chars]"
84,"{'id': None, 'name': 'Los Angeles Times'}",,10 Californians tell us what brought them comfort and joy in 2022,"It has been (another) hard year. But comfort was found, through a song, a moment with family or a view of the stars, as these 10 Californians share.",https://www.latimes.com/opinion/story/2022-12-25/californians-comfort-joy-2022,https://ca-times.brightspotcdn.com/dims4/default/f53f159/2147483647/strip/true/crop/3000x1575+0+213/resize/1200x630!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F12%2F3c%2F70c4393a42809fcd94bd32e63150%2Fla-oe-orliss-comfort-lead.jpg,2022-12-25T11:14:41Z,"We asked some prominent Californians to share somethingthat brought them comfort during this challenging year. Their answers remind us that while difficulties cant be ignored, there are moments of jo… [+8731 chars]"
85,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"Sensex navigates geopolitical gyrations, Fed fusillades to outshine global peers in 'year of polycrisis'","By Abhishek Mukherjee  New Delhi, Dec 25 (PTI) After a two-year liquidity-fuelled bull run, the BSE Sensex faced its moment of reckoning in 2022 as Russia marched into Ukraine, the US Federal Reserve came out all guns blazing in its war against inflation and …",https://economictimes.indiatimes.com/markets/stocks/news/sensex-navigates-geopolitical-gyrations-fed-fusillades-to-outshine-global-peers-in-year-of-polycrisis/articleshow/96496499.cms,"https://img.etimg.com/thumb/msid-96496579,width-1070,height-580,imgsize-22678,overlay-etmarkets/photo.jpg",2022-12-25T11:10:02Z,"By Abhishek Mukherjee New Delhi, Dec 25 (PTI) After a two-year liquidity-fuelled bull run, the BSE Sensex faced its moment of reckoning in 2022 as Russia marched into Ukraine, the US Federal Reserve … [+6706 chars]"
86,"{'id': None, 'name': 'The Japan Times'}",No Author,Japan medical bodies aim to develop tailored drugs to treat rare diseases,Japanese researchers plan to develop tailored drugs and treatments for patients with extremely rare diseases.,https://www.japantimes.co.jp/news/2022/12/25/national/science-health/japan-rare-diseases/,https://cdn-japantimes.com/wp-content/uploads/2022/12/np_file_201674-870x489.jpeg,2022-12-25T11:05:43Z,"Two Japanese medical institutions are planning to develop tailored drugs for patients with genetic disorders in the hope of finding treatment for extremely rare diseases, a leading project member sai… [+983 chars]"
87,"{'id': None, 'name': 'Business Standard'}",Press Trust of India,DPIIT seeks views of ministries on draft national retail trade policy,"The Department for Promotion of Industry and Internal Trade (DPIIT) has sought the views of 16 departments and ministries on its draft national retail trade policy, which is aimed at the overall development of all formats of the sector, an official said.
Afte…",https://www.business-standard.com/article/economy-policy/dpiit-seeks-views-of-ministries-on-draft-national-retail-trade-policy-122122500467_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2022-12/14/full/1671004682-3465.jpg,2022-12-25T11:04:00Z,"The Department for Promotion of Industry and Internal Trade (DPIIT) has sought the views of 16 departments and ministries on its draft national retail trade policy, which is aimed at the overall deve… [+1696 chars]"
88,"{'id': None, 'name': 'Boston Herald'}",Tom Mulherin,Camden Burrows leads the way,"The sports icons that made the cut for Whitman-Hanson senior Camden Burrows to hang their pictures or jerseys on his bedroom walls weren’t exactly a select few. Camden, a three-year starting quarterback and first man off the bench for the Panthers’ basketball…",https://www.bostonherald.com/2022/12/25/camden-burrows-leads-the-way/,https://www.bostonherald.com/wp-content/uploads/2022/12/BURROWSsc002.jpg?w=1024&h=683,2022-12-25T11:02:49Z,"The sports icons that made the cut for Whitman-Hanson senior Camden Burrows to hang their pictures or jerseys on his bedroom walls weren’t exactly a select few.
Camden, a three-year starting quarter… [+5562 chars]"
89,"{'id': None, 'name': 'Protothema.gr'}",Newsroom,Metropolitan Cleopas of Sweden’s Episcopal Encyclical for the Lord’s Nativity 2022,"""We would be calm, peaceful, balanced, and happy, experiencing the presence of God in our daily life""",https://en.protothema.gr/metropolitan-cleopas-of-swedens-episcopal-encyclical-for-the-lords-nativity-2022/,https://en.protothema.gr/wp-content/uploads/2022/12/ch-150x150.png,2022-12-25T11:00:55Z,"Honorable Officials and Community Leaders,
Reverend Clergy,
Beloved Members and Friends of the Holy Metropolis of Sweden and All Scandinavia,
In todays day and age, humanity has achieved so much t… [+3324 chars]"
90,"{'id': None, 'name': 'Gothamist'}",Rebecca Redelmeier,"NYC auto thefts reach 16-year high, mirroring nationwide trend","Jonathan Berenguer stands in front of Lehman College in the Bronx, where his car was stolen in September.
 

Experts say one reason for the rise might be high prices on used cars and parts. [ more › ]",https://gothamist.com/news/nyc-auto-thefts-reach-16-year-high-mirroring-nationwide-trend,https://cms.prod.nypr.digital/images/335599/fill-1200x650|format-jpeg|jpegquality-85,2022-12-25T11:00:45Z,"In a year when many types of crime have risen in New York City, none has spiked more than car theft.
As of Dec. 18, over 13,000 cars had been stolen in the city this year. That's a 32% jump compared… [+3863 chars]"
91,"{'id': None, 'name': 'Yahoo Entertainment'}",Simply Wall St,"Possible bearish signals as Analog Devices, Inc. (NASDAQ:ADI) insiders disposed of US$5.5m worth of stock","The fact that multiple Analog Devices, Inc. ( NASDAQ:ADI ) insiders offloaded a considerable amount of shares over the...",https://finance.yahoo.com/news/possible-bearish-signals-analog-devices-110040435.html,https://media.zenfs.com/en/simply_wall_st__316/1d618ff9ab875bb9b8cc70f749d1f2d0,2022-12-25T11:00:40Z,"The fact that multiple Analog Devices, Inc. (NASDAQ:ADI) insiders offloaded a considerable amount of shares over the past year could have raised some eyebrows amongst investors. When analyzing inside… [+4258 chars]"
92,"{'id': None, 'name': 'Eastasiaforum.org'}",Gary Hufbauer,The travails of the US economy roll on into 2023,"Author: Gary Clyde Hufbauer, PIIE In December 2021, most Americans were looking forward to a quiet and prosperous 2022. COVID-19 cases were down, the stock market was up and jobs were abundant. What could go wrong? Many things did. Geopolitical trauma came fi…",https://www.eastasiaforum.org/2022/12/25/the-travails-of-the-us-economy-roll-on-into-2023/,https://www.eastasiaforum.org/wp-content/uploads/2022/12/2022-10-26T152949Z_1368699331_RC239X9DVFT2_RTRMADP_3_USA-BIDEN-ECONOMY-scaled.jpg,2022-12-25T11:00:31Z,"Author: Gary Clyde Hufbauer, PIIE
In December 2021, most Americans were looking forward to a quiet and prosperous 2022. COVID-19 cases were down, the stock market was up and jobs were abundant. What… [+5589 chars]"
93,"{'id': None, 'name': 'The Guardian'}",John Harris,In 2022 we needed ways to connect with ourselves: thank God for the guitar | John Harris,"The democratic magic of six strings, two hands and an electric current – a means of self-expression as perfect as it has ever beenIn the world of music, two of this year’s seemingly endless losses happened within a fortnight of each other. Both led to outpour…",https://www.theguardian.com/commentisfree/2022/dec/25/2022-guitar-god--six-strings-electric-self-expression,https://i.guim.co.uk/img/media/453f9fbe6338da5bc68208724cdc7397e7c5d1ef/0_0_2560_1536/master/2560.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&enable=upscale&s=ca20e3f373b95eb8d7765124e138eb0b,2022-12-25T11:00:04Z,"In the world of music, two of this years seemingly endless losses happened within a fortnight of each other. Both led to outpouringsof appreciation and reminiscence centred on an invention that is he… [+7176 chars]"
94,"{'id': None, 'name': 'International Business Times'}",Dr. Hossein Saiedian,Iranians Students Day: A Turning Point 70 Years Ago And A Turning Point Now,"At least 277 Iranian cities and towns have been the site of demonstrations in which people have chanted slogans like ""death to the dictator"" and ""down with oppression, be it the Shah's or the mullahs.""",https://www.ibtimes.com/iranians-students-day-turning-point-70-years-ago-turning-point-now-3648974,https://d.ibtimes.com/en/full/4397111/iranians-who-live-ukraine-attend-protest-against-irans-government-deliveries-iranian-drones.jpg,2022-12-25T11:00:01Z,Student activism on university campuses has had a very rich and colorful history all over the world. University students gravitate toward campus activism for a variety of reasons but fighting for soc… [+5715 chars]
95,"{'id': None, 'name': 'Chicago Tribune'}","Annie Sweeney, Erin Hooley","Sandra Brown beat the odds to get a college education while in prison. Now free, she seeks to make the process easier for others.","Sandra Brown, against huge odds, earned a bachelor’s and a master’s degree and started a Ph.D. program while she was locked up.",https://www.chicagotribune.com/news/criminal-justice/ct-education-behind-bars-20221225-zoypbd2tj5f5ngnco2jzvjy4im-htmlstory.html,https://www.chicagotribune.com/resizer/LL3KVLImYadbKMZWWwG2Hr581rw=/1200x630/filters:format(jpg):quality(70)/cloudfront-us-east-1.images.arcpublishing.com/tronc/FERTZ7ZUEZAHLPKJU34OWZEU7Q.jpg,2022-12-25T11:00:00Z,"Sandra Brown walked gingerly down a walkway to the side door of Decatur Correctional Center.
She wore jeans and a hooded sweatshirt that said The Reclamation Project,and her hair was styled into a t… [+22808 chars]"
96,"{'id': None, 'name': 'Süddeutsche Zeitung'}",Von Catherine Hoffmann,SZ-Serie: Münchens junge Unternehmen: Smart auf Spar-Flamme,"Tado hat intelligente Thermostate entwickelt, die beim Energiesparen helfen. Sie lassen sich mit dem Handy steuern und funktionieren fast mit jeder Heizung. Der Hersteller verspricht: Kunden zahlen gut 20 Prozent weniger als vorher.",https://www.sueddeutsche.de/muenchen/muenchen-wirtschaft-start-up-tado-1.5721071,https://www.sueddeutsche.de/image/sz.1.5721075/1200x675?v=1671965551,2022-12-25T10:52:33Z,"Tado hat intelligente Thermostate entwickelt, die beim Energiesparen helfen. Sie lassen sich mit dem Handy steuern und funktionieren fast mit jeder Heizung. Der Hersteller verspricht: Kunden zahlen g… [+10238 chars]"
97,"{'id': None, 'name': 'Beststocks.com'}",Roberto Liccardo,SK Telecom Company Limited (NYSE:SKM) StockNews.com has ... - Best Stocks,"In a report made available for public consumption on Saturday, StockNews.com advised its readers to ""buy"" shares of SK Telecom",https://beststocks.com/sk-telecom-company-limited-nyseskm-stocknews-c-3/,https://beststocks.com/wp-content/uploads/2022/07/Dow-Jones-DJIA.jpg,2022-12-25T10:49:21Z,"In a report made available for public consumption on Saturday, StockNews.com advised its readers to “buy” shares of SK Telecom Co., Ltd. (NYSE: SKM). A “hold” rating had been assigned to the company … [+4129 chars]"
98,"{'id': None, 'name': 'Sputnik International'}",Muhammad Osman,Researchers Recreate Two Facial Depictions of Egyptian Pharaoh Ramses II Using CT Scan Technology,"Pharaoh Ramses II belongs to the nineteenth dynasty in Ancient Egypt, where his rule extended between 1279 and 1212 BC. Nicknamed by his successors and subsequent rulers as the great-grandfather, Ramses II is considered the most famous and most powerful phara…",https://sputniknews.com/20221225/researchers-recreate-two-facial-depictions-of-egyptian-pharaoh-ramses-ii-using-ct-scan-technology-1105780761.html,https://cdnn1.img.sputniknews.com/images/sharing/article/eng/1105780761.jpg?11057805791671964836,2022-12-25T10:40:19Z,"Get the latest Africa news from Sputnik: breaking news, photos, videos, analysis, and features.
https://sputniknews.com/20221225/researchers-recreate-two-facial-depictions-of-egyptian-pharaoh-ramses… [+6289 chars]"
99,"{'id': None, 'name': 'Freerepublic.com'}",The Sun UK,FESTIVE FLIX Secret codes to unlock the hidden Christmas movie genres on Netflix revealed,"NETFLIX has so much Christmas content that it's hard to know where to start. Even if you do scroll down and find a Christmas movie genre, it might not be right for you. Netflix actually have a series of not-so secret codes that will instantly transport you to…",https://freerepublic.com/focus/f-chat/4118796/posts,,2022-12-25T10:37:46Z,"Skip to comments.
FESTIVE FLIX Secret codes to unlock the hidden Christmas movie genres on Netflix revealedThe Sun UK ^
 | 24 Dec 2022
 | Jamie Harris, Senior Technology and Science Reporter
Post… [+1572 chars]"
